run,repetition,Module,Name,
Second-n4-0-20191108-15:09:24-11424,0,Pizza.sink,lifeTimeU1:mean,3.0786490612144
Second-n4-10-20191108-15:10:19-4952,10,Pizza.sink,lifeTimeU1:mean,3.102454722389
Second-n4-11-20191108-15:10:24-5760,11,Pizza.sink,lifeTimeU1:mean,3.2138880552071
Second-n4-12-20191108-15:10:29-1068,12,Pizza.sink,lifeTimeU1:mean,3.1530532727219
Second-n4-13-20191108-15:10:35-5520,13,Pizza.sink,lifeTimeU1:mean,3.1915948079848
Second-n4-14-20191108-15:10:41-7572,14,Pizza.sink,lifeTimeU1:mean,3.0986561396685
Second-n4-15-20191108-15:10:48-6132,15,Pizza.sink,lifeTimeU1:mean,3.0726831963783
Second-n4-16-20191108-15:10:57-7772,16,Pizza.sink,lifeTimeU1:mean,3.227449212153
Second-n4-17-20191108-15:11:04-11708,17,Pizza.sink,lifeTimeU1:mean,3.1191224926094
Second-n4-18-20191108-15:11:09-10212,18,Pizza.sink,lifeTimeU1:mean,3.1425369058003
Second-n4-19-20191108-15:11:17-12000,19,Pizza.sink,lifeTimeU1:mean,3.069327160764
Second-n4-1-20191108-15:09:28-7452,1,Pizza.sink,lifeTimeU1:mean,3.087394501791
Second-n4-2-20191108-15:09:32-3152,2,Pizza.sink,lifeTimeU1:mean,2.9950788171643
Second-n4-3-20191108-15:09:35-8528,3,Pizza.sink,lifeTimeU1:mean,3.2575138138643
Second-n4-4-20191108-15:09:41-3668,4,Pizza.sink,lifeTimeU1:mean,3.0342180116121
Second-n4-5-20191108-15:09:46-9788,5,Pizza.sink,lifeTimeU1:mean,3.1326316328856
Second-n4-6-20191108-15:09:53-2760,6,Pizza.sink,lifeTimeU1:mean,2.9624713522952
Second-n4-7-20191108-15:09:57-7092,7,Pizza.sink,lifeTimeU1:mean,3.017582833864
Second-n4-8-20191108-15:10:03-1364,8,Pizza.sink,lifeTimeU1:mean,3.136265858159
Second-n4-9-20191108-15:10:11-6832,9,Pizza.sink,lifeTimeU1:mean,3.2346233653352
